"location","failed filters","passed filters","snps","mnps","insertions","deletions","indels","breakends","symbolic svs","same as reference","phased genotypes","snp transitions/transversions","total het/hom ratio","snp het/hom ratio","mnp het/hom ratio","insertion het/hom ratio","deletion het/hom ratio","indel het/hom ratio","breakend het/hom ratio","symbolic sv het/hom ratio","insertion/deletion ratio","indel/snp+mnp ratio","partial genotype","total haploid","haploid snps","haploid mnps","haploid insertions","haploid deletions","haploid indels","no genotypes","missing genotype","sample name","haploid symbolic svs","complex called","de novo genotypes","total polyploid","polyploid snps","polyploid mnps","polyploid insertions","polyploid deletions","polyploid indels","md5key"
"3199f5c18fc9ca279d94ace8d249eb66/HG005.GRCh38_no_alt.svim.vcf.gz","16508","190918","0","31","18026","14026","0","0","158835",,"2.14 (21867/10216)","- (0/0)","1.82 (20/11)","1.97 (11957/6069)","2.39 (9890/4136)","- (0/0)","1.29 (18026/14026)","1033.94 (32052/31)",,,,,,,,,,,,,,,,,,,,,,,,"3199f5c18fc9ca279d94ace8d249eb66"
"18a4103d46e6007bd09b6544cb5de077/NHGRI_PBRefine1.0_AJTrio.091316_mod.CA8.3_C252015_HG003.vcf.gz","0","1808","1808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18a4103d46e6007bd09b6544cb5de077"
"275c972131489484cd0bea21c37094c0/NIST-hg001-7001-b-freebayes.vcf","825","48177","46560","701","407","468","41","0","20074","20074","0","0","0","0","4.89 (46892/9589)","1.69 (17647/10456)","1.67 (16577/9909)","3.38 (541/160)","0.99 (202/205)","1.77 (299/169)","2.15 (28/13)","0.87 (407/468)",,,,,,,,,,,,,,,,,,,,"275c972131489484cd0bea21c37094c0"
"0bb511646b694afa13c32e775f4461de/HG006.GRCh38.deepvariant.vcf.gz","3936291","4948269","4001199","0","463615","458963","21642","2850",,,"1.22 (2200382/1800817)","- (0/0)","1.56 (282796/180819)","1.43 (270029/188934)","- (21642/0)","1.01 (463615/458963)","0.24 (944220/4001199)",,,,,,,,,,,,,,,,,,,,,,,,,"0bb511646b694afa13c32e775f4461de"
"30f82a0840d4bffe8e0592c28cff40b5/150424-HG005-Homogeneity-FCB-Combined_S1.genome.vcf.gz","21492087","505354908","3612951","507","299058","293867","22407","501125541","577","2625","2625","0","0","0","0","2.06 (3473928/1682689)","1.38 (2449051/1777114)","1.34 (2067836/1542490)","1.98 (337/170)","1.48 (178699/120359)","1.66 (183404/110463)","5.17 (18775/3632)",,,,,,,,,,,,,,,,,,,,"30f82a0840d4bffe8e0592c28cff40b5"
"f66aa9ac366e7596eb58f8f3205daf0e/NA24385.dels.reformatted.vcf.gz","55","4266","0","0","0","4266","0","0",,,"1.48 (2544/1722)","- (0/0)","- (0/0)","- (0/0)","1.48 (2544/1722)","- (0/0)","0.00 (0/4266)","- (4266/0)",,,,,,,,,,,,,,,,,,,,,,,,"f66aa9ac366e7596eb58f8f3205daf0e"
"201fa420f802e16130113314d215f49c/NA24149_LongRanger_large_svs.vcf.gz","6169","37","0","0","0","0","0","4","33","0","- (20/0)","- (0/0)","17.50 (35/2)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (4/0)","15.50 (31/2)","- (0/0)","- (0/0)",,,,,,,,,,,,,,,,,,,,"201fa420f802e16130113314d215f49c"
"e9151ec460009f4161cc13263b248e4a/NA24385.GRCh38.dels.vcf.gz","62","3903","0","0","0","0","0","16","3887","0","- (3164/0)","- (0/0)","1.58 (2392/1511)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (16/0)","1.57 (2376/1511)","- (0/0)","- (0/0)",,,,,,,,,,,,,,,,,,,,"e9151ec460009f4161cc13263b248e4a"
"4ea0c24afb26a29efc62797caca2efce/GRCh38_vs_GRCh37.l100c500.no_ns.vcf.gz","0","335","0","0","158","105","72","0","265","0","0","134","84","47","- (0/0)","- (70/0)","- (0/0)","- (0/0)","- (24/0)","- (21/0)","- (25/0)","1.50 (158/105)",,,,,,,,,,,,,,,,,,,,"4ea0c24afb26a29efc62797caca2efce"
"2e9dd41cce6d956ce5de246211a80b70/all_reads.fa.giab_h004_ngmlr-0.2.3_mapped.bam.sniffles1kb_auto_noalts_withID_gt19bp.sort.vcf.gz","0","14404","0","0","0","0","0","14391","13",,"0.67 (5758/8633)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","0.67 (5758/8633)","- (0/0)","- (0/0)",,,,,,,,,,,,,,,,,,,,,,,"2e9dd41cce6d956ce5de246211a80b70"
"f1279bea37c7ffb73de21b81ea6e6128/HG2_PBcRMHAP_0815.l100c500.vcf.gz","0","13359","0","0","6113","4799","2447","0","12069","0","0","5585","4360","2124","- (0/0)","- (1290/0)","- (0/0)","- (0/0)","- (528/0)","- (439/0)","- (323/0)","1.27 (6113/4799)",,,,,,,,,,,,,,,,,,,,"f1279bea37c7ffb73de21b81ea6e6128"
"348d85f0769fd38aea347e46ca648555/pbsv_HG003_SequelII.GRCh38.vcf.gz","206","52337","0","0","28920","23366","0","44","0","7","- (0/0)","1.61 (32288/20042)","- (0/0)","- (0/0)","1.65 (17988/10932)","1.57 (14275/9091)","- (0/0)","1.32 (25/19)","1.24 (28920/23366)","- (52286/0)",,,,,,,,,,,,,,,,,,,,,,"348d85f0769fd38aea347e46ca648555"
"2fbcf4149d7fdcf9f087b6f88a5c4a90/U0a_CGATGT_L001_R1_001_paired_Reads_locally_realigned_InDel.vcf","0","9196","0","0","2503","1386","0","0","5307",,"0.00 (0/3889)","- (0/0)","- (0/0)","0.00 (0/2503)","0.00 (0/1386)","- (0/0)","1.81 (2503/1386)","- (3889/0)",,,,,,,,,,,,,,,,,,,,,,,,"2fbcf4149d7fdcf9f087b6f88a5c4a90"
"cc01f4b9fa57ae15d59342ffd480ce15/HG004.140818_D00360_0046_AHA5R5ADXX.realigned.recalibrated.manta.diploidSV.vcf.gz","1905","10270","0","0","1076","2607","1054","3566","1967","0","- (0/0)","1.69 (6451/3819)","- (0/0)","- (0/0)","0.64 (421/655)","1.67 (1630/977)","1.99 (702/352)","1.58 (2184/1382)","3.34 (1514/453)","0.41 (1076/2607)","- (4737/0)",,,,,,,,,,,,,,,,,,,,,"cc01f4b9fa57ae15d59342ffd480ce15"
"489f89520d5e9ca9eeba6edbf153f2a5/tp-base.vcf.gz","0","2351","0","0","0","2167","184","0",,,"- (0/0)","- (0/0)","- (0/0)","1.39 (1259/908)","2.07 (124/60)","0.00 (0/2167)","- (2351/0)",,,,,,,,,,,,,,,,,,,,,,,,,"489f89520d5e9ca9eeba6edbf153f2a5"
"8cb6030ae4f430a2aeee47702938c685/HG2_PBcR_MHAP.l100c500.no_ns.vcf.gz","0","12714","0","0","6082","4449","2183","0","11377","0","0","5544","4001","1832","- (0/0)","- (1337/0)","- (0/0)","- (0/0)","- (538/0)","- (448/0)","- (351/0)","1.37 (6082/4449)",,,,,,,,,,,,,,,,,,,,"8cb6030ae4f430a2aeee47702938c685"
"781041a76e31ededcd827188bc8e67ff/HG002-NA24385-50x.union_170414.vcf.gz","0","46473","20348","0","10252","15776","97","0",,,"1.27 (11394/8954)","- (0/0)","1.42 (6021/4231)","1.77 (10079/5697)","- (97/0)","0.65 (10252/15776)","1.28 (26125/20348)",,,,,,,,,,,,,,,,,,,,,,,,,"781041a76e31ededcd827188bc8e67ff"
"1224085a7c70f10c94b33e03af4fce55/HG002_GRCh38_1_22_v4.2_benchmark.vcf.gz","0","4048333","3459843","0","279915","293624","14439","0","512",,"2.09 (3247386/1554775)","1.60 (2491517/1556816)","1.58 (2118678/1341165)","- (0/0)","1.55 (170273/109642)","1.77 (187641/105983)","554.35 (14413/26)","0.95 (279915/293624)","0.17 (587978/3459843)",,,,,,,,,,,,,,,,,,,,,,,"1224085a7c70f10c94b33e03af4fce55"
"bfad7769944d843f35ffd5b26fa827b9/HG006.hs37d5.deepvariant.vcf.gz","3606701","4869165","3929285","0","460053","455437","21571","2819",,,"1.24 (2173361/1755924)","- (0/0)","1.57 (280760/179293)","1.43 (268265/187172)","- (21571/0)","1.01 (460053/455437)","0.24 (937061/3929285)",,,,,,,,,,,,,,,,,,,,,,,,,"bfad7769944d843f35ffd5b26fa827b9"
"88162f89483f0c13a43d9e994d04dc11/base-filter.vcf","6338","6","0","0","1","4","1","0",,,"- (0/0)","- (0/0)","- (1/0)","3.00 (3/1)","- (1/0)","0.25 (1/4)","- (6/0)",,,,,,,,,,,,,,,,,,,,,,,,,"88162f89483f0c13a43d9e994d04dc11"
"55ccb9ce015d6bb547b4b104ab1f360b/U5c_CCGTCC_L001_R1_001_paired_Reads_locally_realigned_Variants.vcf","0","52","47","2","1","1","0","0","1","3","0","1","1","1","0","0.93 (27/29)","3.80 (38/10)","4.22 (38/9)","0.00 (0/1)","- (0/0)","- (0/0)","- (0/0)",,,,,,,,,,,,,,,,,,,,"55ccb9ce015d6bb547b4b104ab1f360b"
"9901359ebb5eaf607b271d644e81432f/HG004_Ill_Spiral_run06variants_svs_pass_decomposed_norm.vcf.gz","0","1522","1522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9901359ebb5eaf607b271d644e81432f"
"cb330a50dc1db6cfbe552afd976e3d15/HG002.CHM13Y_EBV.svim-asm.vcf.gz","57","40605","0","18","19968","20308","0","252","59","0","- (0/0)","3.74 (32032/8573)","- (0/0)","5.00 (15/3)","3.85 (15852/4116)","3.57 (15866/4442)","- (0/0)","30.50 (244/8)","13.75 (55/4)","0.98 (19968/20308)","2237.56 (40276/18)",,,,,,,,,,,,,,,,,,,,,"cb330a50dc1db6cfbe552afd976e3d15"
"13e6e711c1454e7c0d2e43b248c5aec9/HG004_NIST_150bp_50x_fermikit.raw_min20bp.vcf.gz","0","32967","141","62","15581","14316","2867","0",,,"- (141/0)","- (62/0)","3.53 (12138/3443)","1.50 (8594/5722)","8.62 (2569/298)","1.09 (15581/14316)","161.40 (32764/203)",,,,,,,,,,,,,,,,,,,,,,,,,"13e6e711c1454e7c0d2e43b248c5aec9"
